method,SID,age,list,sex,notes,exclusion.crit,exclude
tablet,72214-2B2,2.2,1,male,tried to do list 2 as 72214-2B but audio didn't work at beginning so we started over in list 1 as 72214-2B2. child was hesitant to pick for first few trials,,0
tablet,72214-3B,2.983561644,2,male,,,0
tablet,72214-4B,3.197260274,1,male,,,0
tablet,72214-1L,2.380821918,2,male,,,0
tablet,72214-5B,3.052054795,1,female,,,0
tablet,72214-2L,4.323287671,1,male,Forgot to put the dash between the numbers on the iPad for this run,,0
tablet,72214-3L,2.602739726,2,male,,,0
tablet,72214-6B,3.830136986,1,male,Parent praised twice,,0
tablet,72214-4L,4.515068493,1,male,Only speaks 25% English,lang,1
tablet,72214-7B,2.6,2,female,Only speaks 50% English,lang,1
tablet,72214-8B,4.616438356,2,male,,,0
tablet,72214-9B,2.010958904,2,female,"EXCLUDE-> child picked most before hearing, didn't understand much English",lang,1
tablet,72214-10B,3.276712329,1,male,"disregard 72214-11B, he had a speech development issue and accidentally clicked out of the game before finishing",dd,1
tablet,72214-6L,2.449315068,2,female,"EXCLUDE-> mother translated every word for her and moved her hand to click on a few, did not understand",lang,1
tablet,72414-1,1.97260274,1,male,parent reinforced on several trials,,0
tablet,72414-2,1.780821918,1,male,didn't complete,,0
tablet,72414-3,1.789041096,1,female,parental interference,,0
tablet,72414-4,4.978082192,1,male,,,0
tablet,72414-5,1.673972603,1,female,didn't complete,,0
tablet,72414-6,1.397260274,1,female,didn't complete,,0
tablet,72414-7,3.304109589,1,female,,,0
tablet,72414-8,,1,male,"didn't really play, no consent/demo form",,1
tablet,72514-1B,4.852054795,1,male,Some parental interference on two ,,0
tablet,72514-1L,4.512328767,1,female,,,0
tablet,72514-2L,1.293150685,1,male,swiped screen over to chrome midway through experiment; didn't finish. some parental reinforcement,,0
tablet,72514-3L,1.860273973,1,female,an older girl came in and played the dot game on this ID number; might be a duplicate file,error,1
tablet,72514-2B,3.750684932,2,male,,,0
tablet,72514-4L,2.142465753,2,female,mom quietly reinforced on several trials,,0
tablet,72514-3B,1.282191781,2,male,Didn't complete,,0
tablet,72514-5L,1.419178082,2,female,parent interfered/translated throughout the run,lang,1
tablet,72514-4B,3.767123288,1,male,,,0
tablet,72514-6L,3.715068493,2,female,,,0
tablet,72514-7L,2.852054795,1,male,,,0
tablet,72514-5B,1.687671233,2,male,Had to do 3 trials and didn't finish completly because he kept swiping and closing the program,,0
tablet,72514-8L,4.531506849,2,male,Accidentally touched the apple instead of the wug (bumped with side of hand),,0
tablet,72514-9L,4.019178082,2,male,,,0
tablet,72514-10L,4.597260274,2,female,,,0
tablet,72514-11L,4.646575342,1,male,mom explained process of elimination at first novel word trial,interference,1
tablet,72614-1,1.780821918,2,male,child needed lots of coaxing and praise to participate. accidentally entered as 72714 instead of 72614,,0
tablet,72614-2,3.904109589,2,male,"sibling interference at beginning of dot game. child also pressed cup before hearing ""dax""",,0
tablet,72614-3,4.860273973,2,male,,,0
tablet,72614-4,1.890410959,2,female,,,0
tablet,72614-5,4.526027397,1,male,,,0
tablet,72614-6,0.997260274,2,female,"EXCLUDE->Too young, didn't complete",age,1
tablet,72814-1,2.254794521,1,male,,,0
tablet,72814-2,2.619178082,1,female,Tried to click on the car and the frog but hand bumped the other picture; slight parent interference at first but then stopped after first couple,,0
tablet,72814-3,4.712328767,1,male,,,0
tablet,72814-4,2.032876712,1,female,Some parental interference but only slight at beginning,,0
tablet,72814-5,2,2,male,,,0
tablet,72814-6,2.556164384,2,male,,,0
tablet,72814-7,1.6,1,male,"Only speaks 25% english, lots of interference from parent and older sibling, didn't complete",lang,1
tablet,72814-8,4,2,female,,,0
tablet,72914-1L,4.821917808,1,male,,,0
tablet,72914-1B,4.821917808,1,female,,,0
tablet,72914-2B,,1,male,EXCLUDE->Only did two trials,,0
tablet,72914-2L,1.221917808,2,female,"EXCLUDE->Child needed lots of coaxing, sibling interference",interference,1
tablet,72914-3B,1.712328767,1,female,,,0
tablet,72914-4B,,2,female,did not play,non-compliant,1
tablet,72914-5B,1.723287671,2,male,did not complete,,0
tablet,72914-4L,1.736986301,2,male,"EXCLUDE->Child didn't speak English, skip 72914-3L, started dots but didn't finish",lang,1
tablet,72914-5L,1.545205479,2,male,"Didn't complete, had to do two trials because closed the program first time, some sibling interference, seemed to be picking all the ones on the left side regardless",error,1
tablet,72914-6L,1.468493151,2,female,Didn't get past the smiley game so no data,non-compliant,1
tablet,73014-1,1.723287671,2,female,,,0
