method,SID,age,list,sex,hispanic,ethnicity,english,num_lang,parent_ed,other_ed,premie,notes,exclusion.crit,exclude
eye-tracker,2014_09_09_89,1.378082192,1,female,no,asian,25,3,6,6,0,EXCLUDE- language 25% and very fidgety,lang,1
eye-tracker,2014_09_09_90,4.279452055,1,female,no,white,90,1,6,4,0,A little fidgety but sat through entire video,,0
eye-tracker,2014_09_09_91,1.169863014,1,male,no,white,90,1,6,6,0,,,0
eye-tracker,2014_09_09_92,,1,male,no,asian,5,1,4,6,0,"EXCLUDE- language 5%, very fidgety and mom interferred a lot",lang,1
eye-tracker,2014_09_10_93,1.454794521,1,female,no,white,100,1,6,6,0,"From Scotland, only been here a month so slightly different accent, mom wanted to make a note of that",lang,1
eye-tracker,2014_09_10_94,4.942465753,1,female,no,white,100,1,4,6,0,,,0
eye-tracker,2014_09_10_95,3.936986301,1,male,no,pacific islander,100,1,4,3,0,,,0
eye-tracker,2014_09_10_96,1.687671233,1,male,yes,hispanic/asian,100,1,4,6,0,A little fidgety and would look away at times but watched entire video,,0
eye-tracker,2014_09_10_97,1.210958904,1,female,no,white,90,2,3,2,1,"EXCLUDE- very fidgety, only watched about 1/3 of video",,0
eye-tracker,2014_09_13_98,4.482191781,1,female,decline to state,decline to state,100,1,6,6,0,,,0
eye-tracker,2014_09_13_99,4.416438356,1,male,no,white,100,2,6,6,0,,,0
eye-tracker,2014_09_13_100,1.112328767,1,male,no,white,100,1,4,4,0,"EXCLUDE- very figety, only watched about 1/3-1/2",,0
eye-tracker,2014_09_13_101,1.947945205,1,male,yes,,100,1,,,1,Some parental interference ,interference,1
eye-tracker,2014_09_13_102,1.446575342,1,male,no,asian/white,75,2,6,6,0,Child was fidgety and needed parental coaxing to pay attention,,0
eye-tracker,2014_09_13_103,1.24109589,1,female,no,asian,90,2,6,6,0,Child was fidgety and needed parental coaxing to pay attention,,0
eye-tracker,2014_10_04_104,1.487671233,2,female,no,asian,50,2,6,6,0,EXCLUDE- language 50%,lang,1
eye-tracker,2014_10_04_105,1.997260274,2,male,no,mix- white/chinese,50,3,6,6,0,EXCLUDE- language 50% but seemed to understand everything and sat through entire video,lang,1
eye-tracker,2014_10_04_106,1.550684932,2,female,no,white,75,3,6,4,0,"EXCLUDE- only sat through a couple of pictures, very fidgety",,0
eye-tracker,2014_10_04_107,1.328767123,2,female,no,asian,5,2,6,6,0,EXCLUDE- language 5%,lang,1
eye-tracker,2014_10_04_108,1.424657534,2,male,no,asian,50,2,4,4,0,EXCLUDE- language 50% ,lang,1
eye-tracker,2014_10_04_109,1.41369863,2,female,no,white,75,3,4,3,0,,,0
eye-tracker,2014_10_04_110,1.147945205,2,male,no,south asian,50,2,6,6,0,EXCLUDE- language 50% but sat through whole video and seemed to understand,lang,1
eye-tracker,2014_10_04_111,1.380821918,2,male,no,white,90,2,4,4,0,"Very fidgety, didn't finish all the way",,0
eye-tracker,2014_10_04_112,1.230136986,2,female,no,asian,50,2,6,4,0,EXCLUDE- didn't make it past the dancing elmos,,0
eye-tracker,2014_10_11_113,1.624657534,2,female,no,asian,50,3,6,6,0,EXCLUDE- language 50% but sat through whole video and seemed to understand,lang,1
eye-tracker,2014_10_25_114,1.616438356,2,male,no,,100,1,6,4,0,,,0
eye-tracker,2014_10_25_115,1.323287671,2,female,no,asian,5,2,6,6,0,EXCLUDE- language 5%,lang,1
eye-tracker,2014_10_25_116,1.671232877,2,male,no,asian,25,2,5,4,0,EXCLUDE- language 25%,lang,1
eye-tracker,2014_10_25_117,1.010958904,2,male,no,white,100,1,6,6,0,,,0
eye-tracker,2014_10_25_118,1.38630137,2,female,no,asian,75,2,6,6,0,EXCLUDE- only sat through first 4-5 trials,,0
eye-tracker,2014_11_15_119,1.21369863,2,female,no,"1/3 Filipino, 1/4 Chinese, 1/4 White",100,0,6,4,0,"EXCLUDE- no data, couldn't get passed dancing elmo",,0
eye-tracker,2014_11_15_120,1.276712329,2,female,no,East Indian,25,2,6,6,0,EXCLUDE- language 25% but did really well and seemed to understand and older sister was at 90% English,lang,1
eye-tracker,2014_11_15_121,1.547945205,2,female,yes,pacific islander,100,0,4,3,0,Some encouragement by mom to get her to pay attention entire time,,0
